Date,Open,High,Low,Close,Adj Close,Volume
2020-10-05,3008.0,3021.050048828125,2930.0,2952.85009765625,2854.111328125,38248
2020-10-06,2980.0,2992.449951171875,2953.0,2973.050048828125,2873.635986328125,19338
2020-10-07,2975.0,3096.5,2956.0,3077.35009765625,2974.4482421875,58758
2020-10-08,3080.0,3111.5,3050.449951171875,3076.699951171875,2973.81982421875,16345
2020-10-09,3077.0,3095.0,3026.800048828125,3058.300048828125,2956.03515625,15388
2020-10-12,3058.699951171875,3070.0,3010.60009765625,3026.10009765625,2924.912109375,24645
2020-10-13,3015.0,3050.0,3000.050048828125,3034.85009765625,2933.369384765625,15764
2020-10-14,3035.0,3073.800048828125,3021.5,3053.10009765625,2951.00927734375,21547
2020-10-15,3074.0,3130.60009765625,3020.0,3025.800048828125,2924.6220703125,19756
2020-10-16,3050.0,3090.0,3032.89990234375,3044.64990234375,2942.841552734375,8470
2020-10-19,3089.89990234375,3089.89990234375,2971.39990234375,2980.199951171875,2880.546630859375,12258
2020-10-20,2951.0,3020.550048828125,2951.0,3001.75,2901.376220703125,70134
2020-10-21,3035.0,3040.050048828125,2993.5,3016.35009765625,2915.488037109375,20228
2020-10-22,3037.949951171875,3037.949951171875,2977.0,3009.25,2908.625244140625,48079
2020-10-23,3012.10009765625,3094.39990234375,2997.550048828125,3083.14990234375,2980.05419921875,32505
2020-10-26,3068.0,3113.0,2885.0,2895.0,2798.19580078125,45019
2020-10-27,2901.050048828125,2972.300048828125,2855.0,2949.199951171875,2850.583251953125,100355
2020-10-28,2945.0,2965.0,2892.050048828125,2943.949951171875,2845.5087890625,53713
2020-10-29,2900.0,2933.85009765625,2884.75,2926.300048828125,2828.44921875,18503
2020-10-30,2950.0,2961.800048828125,2880.0,2886.449951171875,2789.931640625,17497
2020-11-02,2895.10009765625,2937.199951171875,2823.35009765625,2843.5,2748.417724609375,22065
2020-11-03,2887.89990234375,2929.0,2858.0,2915.75,2818.251953125,15230
2020-11-04,2915.0,2946.39990234375,2881.60009765625,2927.449951171875,2829.560546875,42944
2020-11-05,2937.0,2970.0,2928.0,2950.449951171875,2851.79150390625,23249
2020-11-06,2945.0,3000.0,2945.0,2979.199951171875,2879.580078125,33988
2020-11-09,2985.0,3020.5,2980.0,2999.050048828125,2898.7666015625,17164
2020-11-10,3025.0,3048.0,2968.199951171875,2997.10009765625,2896.8818359375,15140
2020-11-11,3000.0,3038.699951171875,2989.35009765625,3022.75,2921.673828125,12523
2020-11-12,3022.0,3041.550048828125,2999.10009765625,3016.300048828125,2915.439697265625,8749
2020-11-13,3017.0,3048.0,2998.85009765625,3040.949951171875,2939.265380859375,8366
2020-11-17,3044.0,3047.0,2995.25,3043.39990234375,2941.63330078125,15876
2020-11-18,3057.0,3057.0,3003.699951171875,3037.35009765625,2935.785888671875,7358
2020-11-19,3039.0,3057.449951171875,3010.10009765625,3034.800048828125,2933.321044921875,126522
2020-11-20,3036.699951171875,3083.0,3023.800048828125,3059.25,2956.953369140625,17609
2020-11-23,3063.0,3082.75,3032.300048828125,3077.10009765625,2974.20654296875,14893
2020-11-24,3075.64990234375,3121.60009765625,3055.0,3091.0,2987.641845703125,27688
2020-11-25,3091.0,3159.85009765625,3040.25,3050.5,2948.49609375,32019
2020-11-26,3093.949951171875,3150.0,3061.10009765625,3129.949951171875,3025.289306640625,28791
2020-11-27,3130.0,3249.75,3130.0,3172.64990234375,3066.5615234375,61752
2020-12-01,3200.0,3248.949951171875,3164.10009765625,3244.550048828125,3136.057373046875,23727
2020-12-02,3248.0,3348.14990234375,3223.050048828125,3337.449951171875,3225.850830078125,56338
2020-12-03,3365.0,3367.75,3282.800048828125,3293.85009765625,3183.708984375,25143
2020-12-04,3333.0,3342.449951171875,3290.0,3312.35009765625,3201.59033203125,11962
2020-12-07,3324.0,3331.10009765625,3269.800048828125,3319.89990234375,3208.8876953125,19751
2020-12-08,3300.0,3383.89990234375,3300.0,3325.64990234375,3214.4453125,25197
2020-12-09,3338.10009765625,3353.449951171875,3299.75,3305.300048828125,3194.77587890625,9107
2020-12-10,3311.25,3318.050048828125,3274.60009765625,3290.39990234375,3180.3740234375,9571
2020-12-11,3300.0,3335.699951171875,3287.60009765625,3327.0,3215.750244140625,12183
2020-12-14,3340.0,3340.0,3266.0,3289.14990234375,3179.165771484375,15042
2020-12-15,3285.0,3348.800048828125,3261.25,3271.550048828125,3162.154541015625,27960
2020-12-16,3314.89990234375,3314.89990234375,3252.699951171875,3303.050048828125,3192.60107421875,32391
2020-12-17,3310.0,3326.0,3258.64990234375,3270.550048828125,3161.18798828125,25595
2020-12-18,3266.0,3363.449951171875,3266.0,3348.64990234375,3236.67626953125,44026
2020-12-21,3357.25,3360.0,3196.800048828125,3232.449951171875,3124.36181640625,37985
2020-12-22,3185.0,3286.199951171875,3174.25,3269.300048828125,3159.979736328125,89583
2020-12-23,3276.0,3318.0,3261.75,3309.199951171875,3198.54541015625,40874
2020-12-24,3320.0,3422.199951171875,3320.0,3372.550048828125,3259.77734375,40238
2020-12-28,3414.699951171875,3422.89990234375,3376.0,3414.0,3299.841064453125,20034
2020-12-29,3418.35009765625,3459.0,3418.35009765625,3431.300048828125,3316.562744140625,15632
2020-12-30,3450.0,3472.35009765625,3407.699951171875,3448.0,3332.704345703125,14598
2020-12-31,3451.0,3460.0,3427.050048828125,3447.199951171875,3331.930908203125,8819
2021-01-01,3431.0,3493.39990234375,3431.0,3482.800048828125,3366.340576171875,20357
2021-01-04,3480.0,3527.39990234375,3463.449951171875,3521.75,3403.98828125,23393
2021-01-05,3521.75,3521.75,3474.14990234375,3494.300048828125,3377.4560546875,20095
2021-01-06,3485.14990234375,3526.0,3437.699951171875,3464.60009765625,3348.749267578125,16562
2021-01-07,3500.0,3500.0,3430.0,3437.75,3322.796875,11428
2021-01-08,3448.10009765625,3544.35009765625,3439.14990234375,3532.300048828125,3414.185546875,13941
2021-01-11,3549.0,3631.10009765625,3521.949951171875,3616.949951171875,3496.0048828125,34273
2021-01-12,3616.949951171875,3641.550048828125,3557.050048828125,3624.39990234375,3503.20556640625,32366
