Date,Open,High,Low,Close,Adj Close,Volume
2021-01-08,18242.0,18339.94921875,18002.0,18295.44921875,18196.388671875,3199
2021-01-11,18418.0,18538.25,18189.0,18392.900390625,18293.3125,2513
2021-01-12,18387.0,18395.0,17957.80078125,18003.80078125,17906.3203125,4281
2021-01-13,18005.0,18268.400390625,17961.55078125,18022.75,17925.166015625,5524
2021-01-14,18000.0,18200.650390625,18000.0,18128.94921875,18030.791015625,13694
2021-01-15,18149.0,18238.099609375,17800.0,17872.25,17775.48046875,3233
2021-01-18,17801.0,18075.0,17567.05078125,17629.150390625,17533.697265625,6798
2021-01-19,17650.05078125,17802.30078125,17650.05078125,17755.55078125,17659.4140625,1645
2021-01-20,17815.0,17938.349609375,17630.44921875,17677.75,17582.033203125,3080
2021-01-21,17769.0,17899.849609375,17660.0,17714.5,17618.5859375,2197
2021-01-22,17999.0,17999.0,17300.0,17580.150390625,17484.962890625,2606
2021-01-25,17799.0,17799.0,17236.75,17443.599609375,17349.15234375,3715
2021-01-27,17560.0,17590.0,17344.69921875,17547.650390625,17452.638671875,2114
2021-01-28,17401.0,17519.94921875,17205.75,17375.400390625,17281.322265625,12790
2021-01-29,17500.0,17500.0,16961.19921875,17068.69921875,16976.28125,2118
2021-02-01,17162.099609375,17277.0,16996.44921875,17096.94921875,17004.37890625,3169
2021-02-02,17211.0,17328.099609375,16800.0,17189.349609375,17096.27734375,3852
2021-02-03,17247.44921875,17284.0,17064.349609375,17155.400390625,17062.513671875,2270
2021-02-04,17250.0,17250.0,17054.80078125,17073.19921875,16980.755859375,13193
2021-02-05,17244.0,17244.0,17019.94921875,17123.30078125,17030.5859375,2503
2021-02-08,17199.94921875,17280.0,17107.349609375,17213.55078125,17120.34765625,7122
2021-02-09,17340.0,17510.69921875,17164.05078125,17325.80078125,17231.990234375,2714
2021-02-10,17396.900390625,17439.30078125,17083.80078125,17167.69921875,17074.744140625,3341
2021-02-11,17167.69921875,17442.0,17165.55078125,17416.650390625,17322.34765625,2025
2021-02-12,17449.849609375,17500.0,17241.0,17286.099609375,17192.50390625,3486
2021-02-15,17290.0,17500.0,17280.0,17484.5,17389.830078125,1927
2021-02-16,17600.0,17634.599609375,17141.25,17222.44921875,17129.19921875,7901
2021-02-17,16900.0,16900.0,16360.0,16739.900390625,16649.26171875,28701
2021-02-18,17050.0,17050.0,16307.0,16374.150390625,16285.4931640625,13711
2021-02-19,16395.0,16477.599609375,16214.4501953125,16386.099609375,16297.376953125,5777
2021-02-22,16400.0,16531.05078125,16024.599609375,16099.2001953125,16012.03125,9051
2021-02-23,16123.0,16250.0,16003.0,16165.25,16077.7236328125,6261
2021-02-24,16249.0,16800.0,15900.0,16369.9501953125,16281.3154296875,18003
2021-02-25,16394.69921875,16394.69921875,16102.0,16114.349609375,16027.0986328125,18735
2021-02-26,16075.0,16287.2001953125,16010.0,16097.7001953125,16010.5390625,13733
2021-03-01,16274.9501953125,16360.0,16090.7001953125,16288.2001953125,16200.0078125,4590
2021-03-02,16399.0,16631.55078125,16290.2998046875,16571.94921875,16482.220703125,3793
2021-03-03,16780.0,16780.0,16553.30078125,16694.849609375,16604.455078125,2047
2021-03-04,16790.0,16790.0,16450.0,16649.400390625,16559.251953125,11982
2021-03-05,16405.150390625,16836.69921875,16405.150390625,16774.44921875,16683.625,3226
2021-03-08,16780.0,16888.0,16631.0,16851.349609375,16760.107421875,5726
2021-03-09,16900.0,16930.0,16660.0,16899.349609375,16807.84765625,1759
2021-03-10,16913.349609375,16999.349609375,16785.44921875,16936.69921875,16844.99609375,5417
2021-03-12,16850.0,16990.0,16649.400390625,16766.19921875,16675.41796875,7614
2021-03-15,16767.0,16860.0,16596.0,16831.25,16740.1171875,4273
2021-03-16,16850.05078125,17031.0,16690.0,16749.25,16658.560546875,3315
2021-03-17,16749.0,16749.349609375,16350.0,16458.099609375,16368.9873046875,7288
2021-03-18,16458.0,16625.0,16172.75,16202.7001953125,16114.970703125,4961
2021-03-19,16202.0,16590.099609375,16075.150390625,16444.349609375,16355.3115234375,6378
2021-03-22,16415.0,16672.650390625,16350.0498046875,16594.25,16504.400390625,2728
2021-03-23,16599.0,16747.69921875,16498.900390625,16693.599609375,16603.212890625,8275
2021-03-24,16600.0,16762.44921875,16409.0,16452.599609375,16363.517578125,4073
2021-03-25,16493.0,16583.0,16116.0,16173.849609375,16086.2763671875,4206
2021-03-26,16398.0,16600.05078125,16250.5,16568.30078125,16478.591796875,4096
2021-03-30,16570.0,17218.0,16570.0,17114.05078125,17021.38671875,5227
2021-03-31,17135.0,17261.44921875,16952.80078125,17170.25,17077.28125,5052
2021-04-01,17105.0,17143.05078125,16968.900390625,17102.150390625,17009.55078125,3554
2021-04-05,17125.0,17149.599609375,16721.80078125,16909.19921875,16817.64453125,8833
2021-04-06,16935.5,17111.0,16820.0,17078.30078125,16985.830078125,2895
2021-04-07,17080.0,17863.849609375,17050.0,17420.650390625,17326.326171875,5029
2021-04-08,17421.0,17750.0,17322.44921875,17667.900390625,17572.23828125,21342
2021-04-09,17554.69921875,17848.0,17518.30078125,17580.599609375,17485.41015625,2037
2021-04-12,17401.30078125,17620.69921875,17341.599609375,17495.69921875,17400.96875,2886
2021-04-13,17450.05078125,17597.19921875,17040.19921875,17162.150390625,17069.2265625,1729
2021-04-15,17490.0,17490.0,16775.0,16871.900390625,16780.546875,2712
2021-04-16,17000.0,17328.0,16870.19921875,17238.099609375,17144.763671875,1743
2021-04-19,17239.5,17239.5,16952.099609375,17081.25,16988.763671875,1282
2021-04-20,17302.19921875,17371.5,16885.5,17086.25,16993.736328125,3872
